"CÃ“DIGO";"PRODUCTO";"CATEGORÃA";"Unidad de medida";"Cantidad x pres.";"Peso X presentaciÃ³n";"MINORISTA                   Precio x presentaciÃ³n";"MAYORISTA                   Precio x presentaciÃ³n";"DISTRIBUIDOR                   Precio x presentaciÃ³n"
"SLTAE1";"Arveja entera x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" 3.198,00 ";" $2.665,00 ";" $2.132,00 "
"SLTAE25";"Arveja entera x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" 71.340,00 ";" $59.450,00 ";" $47.560,00 "
"SLTAP1";"Arveja partida x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" 3.324,75 ";" $2.770,63 ";" $2.216,50 "
"SLTAP25";"Arveja partida x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" 74.167,50 ";" $61.806,25 ";" $49.445,00 "
"SLTAA1";"Avena arrollada x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" $4.933,50 ";" $4.111,25 ";" $3.289,00 "
"SLTAA20";"Avena arrollada x 20 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";20;20;" $88.044,00 ";" $73.370,00 ";" $58.696,00 "
"SLTG1";"Garbanzo x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.861,00 ";" $3.217,50 ";" $2.574,00 "
"SLTG25";"Garbanzo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $86.130,00 ";" $71.775,00 ";" $57.420,00 "
"SLTL1";"Lenteja x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" $4.906,20 ";" $4.088,50 ";" $3.270,80 "
"SLTL25";"Lenteja x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $109.446,00 ";" $91.205,00 ";" $72.964,00 "
"SLTM1";"Mijo pelado x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" $3.946,80 ";" $3.289,00 ";" $2.631,20 "
"SLTM25";"Mijo pelado x 25 kg";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $88.044,00 ";" $73.370,00 ";" $58.696,00 "
"SLTHG5";"Harina de garbanzo x 5 kg.";"SALVE LA TIERRA ";"KG";5;5;" $20.047,50 ";" $16.706,25 ";" $13.365,00 "
"SLTHG25";"Harina de garbanzo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $89.100,00 ";" $74.250,00 ";" $59.400,00 "
"SLTBOGB";"Balanceado p/gallinas x 1 k";"SALVE LA TIERRA ";"KG";1;1;" $-   ";" $-   ";" $-   "
"SLTBOGB30";"Balanceado p/gallinas x 30 kg";"SALVE LA TIERRA ";"BOLSÃ“N";30;30;" $29.232,00 ";" $24.360,00 ";" $19.488,00 "
"SLTLM1";"Lino marrÃ³n x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.870,75 ";" $3.225,63 ";" $2.580,50 "
"SLTLM25";"Lino marrÃ³n x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $86.347,50 ";" $71.956,25 ";" $57.565,00 "
"SLTMP1";"MaÃ­z pisingallo x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.324,75 ";" $2.770,63 ";" $2.216,50 "
"SLTMP25";"MaÃ­z pisingallo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $74.167,50 ";" $61.806,25 ";" $49.445,00 "
"SLTPAD1";"Poroto Adzuki x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.646,85 ";" $3.872,38 ";" $3.097,90 "
"SLTPAD25";"Poroto Adzuki x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $103.660,50 ";" $86.383,75 ";" $69.107,00 "
"SLTPAL1";"Poroto Alubia x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.364,10 ";" $3.636,75 ";" $2.909,40 "
"SLTPAL25";"Poroto Alubia x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $97.353,00 ";" $81.127,50 ";" $64.902,00 "
"SLTPC1";"Poroto Colorado x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.364,10 ";" $3.636,75 ";" $2.909,40 "
"SLTPC25";"Poroto Colorado x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $97.353,00 ";" $81.127,50 ";" $64.902,00 "
"SLTPS1";"Poroto de Soja x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $2.295,15 ";" $1.912,63 ";" $1.530,10 "
"SLTPS25";"Poroto de Soja x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $51.199,50 ";" $42.666,25 ";" $34.133,00 "
"SLTPM1";"Poroto Mung x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.198,00 ";" $2.665,00 ";" $2.132,00 "
"SLTPM25";"Poroto Mung x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $71.340,00 ";" $59.450,00 ";" $47.560,00 "
"SLTPN1";"Poroto Negro x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.847,35 ";" $3.206,13 ";" $2.564,90 "
"SLTPN25";"Poroto Negro x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $85.825,50 ";" $71.521,25 ";" $57.217,00 "
"SLTSC1";"Semilla de Chia x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $8.385,00 ";" $6.987,50 ";" $5.590,00 "
"SLTSC25";"Semilla de Chia x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $187.050,00 ";" $155.875,00 ";" $124.700,00 "
"SLTSG1";"Semilla de Girasol x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.933,50 ";" $4.111,25 ";" $3.289,00 "
"SLTSG20";"Semilla de Girasol x 20 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";20;20;" $88.044,00 ";" $73.370,00 ";" $58.696,00 "
"SLTS1";"SÃ©samo x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $6.415,50 ";" $5.346,25 ";" $4.277,00 "
"SLTS25";"SÃ©samo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $143.115,00 ";" $119.262,50 ";" $95.410,00 "
"SLTQ1";"Quinoa x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $-   ";" $-   ";" $-   "
"SLTQ25";"Quinoa x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"CGSAY1";"Arroz yamani x 1 Kg.";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $-   ";" $-   ";" $-   "
"CGSAY30";"Arroz yamani x 25 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"CGSAYIO7U";"Arroz Yamani Integral OrgÃ¡nico ""Schatzi"" x 500 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,5;" $5.114,22 ";" $4.261,85 ";" $3.409,48 "
"CGSAYIO7C";"Arroz Yamani Integral OrgÃ¡nico ""Schatzi"" x 500 Grs. CAJA x 20u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";20;10;" $98.192,95 ";" $81.827,46 ";" $65.461,97 "
"CGSAILF1";"Arroz integral largo fino x 1 Kg.";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $-   ";" $-   ";" $-   "
"CGSAILF25";"Arroz integral largo fino x 25 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"CGSAILO7U";"Arroz Integral Largo OrgÃ¡nico ""Schatzi"" x 750 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,75;" $6.606,36 ";" $5.505,30 ";" $4.404,24 "
"CGSAILO7C";"Arroz Integral Largo OrgÃ¡nico ""Schatzi"" x 750 Grs. CAJA x 12u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";12;9;" $76.027,34 ";" $63.356,11 ";" $50.684,89 "
"CGSABO7U";"Arroz Blanco OrgÃ¡nico ""Schatzi"" x 750 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,75;" $-   ";" $-   ";" $-   "
"CGSABO7C";"Arroz Blanco OrgÃ¡nico ""Schatzi"" x 750 Grs. CAJA x 12u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";12;9;" $-   ";" $-   ";" $-   "
"CGSGOM4U";"Granola OrgÃ¡nica con Manzana ""Schatzi"" x 400 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,4;" $9.451,78 ";" $7.876,48 ";" $6.301,19 "
"CGSGOM4C";"Granola OrgÃ¡nica con Manzana ""Schatzi"" x 400 Grs. CAJA x 8u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";8;3,2;" $72.515,31 ";" $60.429,43 ";" $48.343,54 "
"CGSGOM1U";"Granola OrgÃ¡nica con Manzana ""Schatzi"" x 1,5 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";1;1,5;" $24.613,53 ";" $20.511,27 ";" $16.409,02 "
"CGSGID4U";"Granola Integral Desayuno ""Schatzi"" x 400 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,4;" $10.468,92 ";" $8.724,10 ";" $6.979,28 "
"CGSGID4C";"Granola Integral Desayuno ""Schatzi"" x 400 Grs. CAJA x 8U.";"CEREALES GRANOS Y SEMILLAS";"CAJA";8;3,2;" $80.318,95 ";" $66.932,46 ";" $53.545,97 "
"CGSGID1U";"Granola Integral Desayuno ""Schatzi"" x 1,5 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";1;1,5;" $29.602,29 ";" $24.668,57 ";" $19.734,86 "
"CGSGP4U";"Granola Potencia ""Schatzi"" x 400 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,4;" $11.254,53 ";" $9.378,77 ";" $7.503,02 "
"CGSGP4C";"Granola Potencia ""Schatzi"" x 400 Grs. CAJA x 8U.";"CEREALES GRANOS Y SEMILLAS";"CAJA";8;3,2;" $86.346,22 ";" $71.955,18 ";" $57.564,15 "
"CGSGP1U";"Granola Potencia ""Schatzi"" x 1,5 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";1;1,5;" $33.198,60 ";" $27.665,50 ";" $22.132,40 "
"CGSPSTO2U";"Proteina de soja texturizada OrgÃ¡nica ""Schatzi"" x 200 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,2;" $3.905,00 ";" $3.254,16 ";" $2.603,33 "
"CGSPSTO2C";"Proteina de soja texturizada OrgÃ¡nica ""Schatzi"" x 200 Grs. CAJA x 9";"CEREALES GRANOS Y SEMILLAS";"CAJA";9;1,8;" $33.704,60 ";" $28.087,17 ";" $22.469,73 "
"CGSPSTO1U";"Proteina de soja texturizada OrgÃ¡nica ""Schatzi"" x 1 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";1;1;" $-   ";" $-   ";" $-   "
"CGSCMSAZ";"Copos de maiz SIN AZUCAR";"CEREALES GRANOS Y SEMILLAS";"BOLSA";3,5;3,5;" $11.792,06 ";" $9.826,72 ";" $7.861,38 "
"CGSCMCAZ";"Copos de maiz CON AZUCAR";"CEREALES GRANOS Y SEMILLAS";"BOLSA";4;4;" $18.276,00 ";" $15.230,00 ";" $12.184,00 "
"CGSSCT1";"Semilla de Chia TRADICIONAL x 1 kg ";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $3.900,00 ";" $3.250,00 ";" $2.600,00 "
"CGSSCT25";"Semilla de Chia TRADICIONAL x 25 kg ";"CEREALES GRANOS Y SEMILLAS";"BOLSÃ“N";25;25;" $87.000,00 ";" $72.500,00 ";" $58.000,00 "
"CGSSGT1";"Semilla de Girasol TRADICIONAL x 1 kg ";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $2.827,50 ";" $2.356,25 ";" $1.885,00 "
"CGSSGT20";"Semilla de Girasol TRADICIONAL x 20 kg ";"CEREALES GRANOS Y SEMILLAS";"BOLSÃ“N";20;20;" $50.460,00 ";" $42.050,00 ";" $33.640,00 "
"CGSSZAA1";"Semillas de Zapallo - AA x 1 Kg.";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $15.300,00 ";" $12.750,00 ";" $10.200,00 "
"CGSSZAA5";"Semillas de Zapallo - AA x 5 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";5;5;" $73.312,50 ";" $61.093,75 ";" $48.875,00 "
"CGSAI1";"Avena instantanea x 1 Kg.";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $1.852,50 ";" $1.543,75 ";" $1.235,00 "
"CGSAI30";"Avena instantanea x 30 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSÃ“N";30;30;" $51.300,00 ";" $42.750,00 ";" $34.200,00 "
"CGSAAO05U";"Avena arrollada orgÃ¡nica ""CAMPO CLARO"" x 500 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,5;" $1.876,61 ";" $1.563,84 ";" $1.251,07 "
"CGSAAO05C";"Avena arrollada orgÃ¡nica ""CAMPO CLARO"" x 500 Grs. CAJA X 10 u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";10;5;" $18.015,47 ";" $15.012,89 ";" $12.010,31 "
"CGSAAO4";"Avena arrollada orgÃ¡nica ""CAMPO CLARO"" x 4 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";4;4;" $-   ";" $-   ";" $-   "
"CGSAAO25";"Avena arrollada orgÃ¡nica ""CAMPO CLARO"" x 25 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";25;25;" $-   ";" $-   ";" $-   "
"CGSPIO05U";"Polenta Inst. ""DEL CAMPO"" - OrgÃ¡nica SIN TACC - u. x 500 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,5;" $1.150,80 ";" $959,00 ";" $767,20 "
"CGSPIO05P";"Polenta Inst. ""DEL CAMPO"" - OrgÃ¡nica SIN TACC - Pack x 20 u.";"CEREALES GRANOS Y SEMILLAS";"PACK";20;10;" $21.336,00 ";" $17.780,00 ";" $14.224,00 "
"HCC11";"Harina Integral Pan ""CAMPO CLARO"" - x 1 Kg.";"HARINAS";"UNIDAD";1;1;" $2.169,42 ";" $1.807,85 ";" $1.446,28 "
"HCC10";"Harina Integral Pan ""CAMPO CLARO"" - x 1 Kg. CAJA x 10 u.";"HARINAS";"CAJA";10;10;" $20.826,45 ";" $17.355,37 ";" $13.884,30 "
"HCC5";"Harina Integral Pan ""CAMPO CLARO"" - x 5 Kg.";"HARINAS";"BOLSA";5;5;" $9.575,40 ";" $7.979,50 ";" $6.383,60 "
"HCC25";"Harina Integral Pan ""CAMPO CLARO"" - x 25 Kg.";"HARINAS";"BOLSA";25;25;" $44.938,69 ";" $37.448,91 ";" $29.959,13 "
"HMT31";"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 1 Kg";"HARINAS";"KG";1;1;" $2.160,00 ";" $1.800,00 ";" $1.440,00 "
"HMT35";"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 5 Kg";"HARINAS";"BOLSA";5;5;" $9.711,00 ";" $8.092,50 ";" $6.474,00 "
"HMT325";"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 25 Kg";"HARINAS";"BOLSA";25;25;" $44.460,00 ";" $37.050,00 ";" $29.640,00 "
"HMT41";"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 1 Kg";"HARINAS";"KG";1;1;" $2.340,00 ";" $1.950,00 ";" $1.560,00 "
"HMT45";"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 5 Kg";"HARINAS";"BOLSA";5;5;" $10.881,00 ";" $9.067,50 ";" $7.254,00 "
"HMT425";"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 25 Kg";"HARINAS";"BOLSA";25;25;" $49.374,00 ";" $41.145,00 ";" $32.916,00 "
"HMC1";"Harina Centeno Organica ""MAYAL"" - x 1 Kg";"HARINAS";"KG";1;1;" $3.294,00 ";" $2.745,00 ";" $2.196,00 "
"HMC5";"Harina Centeno Organica ""MAYAL"" - x 5 Kg";"HARINAS";"BOLSA";5;5;" $15.234,75 ";" $12.695,63 ";" $10.156,50 "
"HMC20";"Harina Centeno Organica ""MAYAL"" - x 20 Kg";"HARINAS";"BOLSA";20;20;" $55.449,00 ";" $46.207,50 ";" $36.966,00 "
"HME1";"Harina Espelta ""MAYAL"" x 1 kg.";"HARINAS";"KG";1;1;" $4.752,00 ";" $3.960,00 ";" $3.168,00 "
"HME5";"Harina Espelta ""MAYAL"" x 5 kg.";"HARINAS";"BOLSA";5;5;" $22.248,00 ";" $18.540,00 ";" $14.832,00 "
"HMM1";"Harina de maiz ""MAYAL"" x 1 kg.";"HARINAS";"KG";1;1;" $2.052,00 ";" $1.710,00 ";" $1.368,00 "
"HMM5";"Harina de maiz ""MAYAL"" x 5 kg.";"HARINAS";"BOLSA";5;5;" $9.288,00 ";" $7.740,00 ";" $6.192,00 "
"HA1";"Harina de Almendra x 1 Kg.";"HARINAS";"KG";1;1;" $4.875,00 ";" $4.062,50 ";" $3.250,00 "
"HA10";"Harina de Almendra x 10 Kg.";"HARINAS";"PACK";10;10;" $45.000,00 ";" $37.500,00 ";" $30.000,00 "
"HFM1";"FÃ©cula de Mandioca ""ALDEMA"" x 1 Kg.";"HARINAS";"UNIDAD";1;1;" $-   ";" $-   ";" $-   "
"HFM1B";"FÃ©cula de Mandioca ""ALDEMA"" x Bolsa 10 u. x 1 Kg.";"HARINAS";"PACK";10;10;" $-   ";" $-   ";" $-   "
"HFAG1";"FÃ©cula de Mandioca ""AG"" x 1 Kg.";"HARINAS";"UNIDAD";1;1;" $1.950,00 ";" $1.625,00 ";" $1.300,00 "
"HFM25";"FÃ©cula de Mandioca  x 25 Kg.";"HARINAS";"BOLSA";25;25;" $37.800,00 ";" $31.500,00 ";" $25.200,00 "
"HMP1";"Maca peruana "" Kallpa""  x 500 grs.";"HARINAS";"UNIDAD";1;0,5;" $1.852,50 ";" $1.543,75 ";" $1.235,00 "
"HMP100";"Maca peruana "" Kallpa"" Bolsa x 100 u.";"HARINAS";"BOLSÃ“N";100;50;" $171.000,00 ";" $142.500,00 ";" $114.000,00 "
"HMPR1";"Maca peruana "" Kallpa"" ROJA x 500 grs.";"HARINAS";"UNIDAD";1;0,5;" $-   ";" $-   ";" $-   "
"HMPN1";"Maca peruana NEGRA x 150 grs.";"HARINAS";"UNIDAD";1;0,2;" $1.725,00 ";" $1.437,50 ";" $1.150,00 "
"HLEF25";"Harina integral ""LILEN"" PASTELERIA X25K";"HARINAS";"BOLSA";25;25;" $16.978,28 ";" $14.148,56 ";" $11.318,85 "
"HLMSEF";"Harina integral de trigo 0000 ""LOMA BRAVA"" 25k";"HARINAS";"BOLSA";25;25;" $34.196,40 ";" $28.497,00 ";" $22.797,60 "
"HLMC20";"Harina de centeno 0000 ""LOMA BRAVA"" 20K";"HARINAS";"BOLSA";20;20;" $38.104,56 ";" $31.753,80 ";" $25.403,04 "
"HLMMM5";"Harina de maiz MORADO x 5K ""LOMA BRAVA""";"HARINAS";"BOLSA";5;5;" $-   ";" $-   ";" $-   "
"HLMSB1";"Harina de SORGO BLANCO x 1 kg""LOMA BRAVA"" ";"HARINAS";"UNIDAD";1;1;" $-   ";" $-   ";" $-   "
"FITCC1";"Fideos Int. Pan. Tallarin ""CAMPO CLARO"" x 500 Grs.";"FIDEOS";"UNIDAD";1;0,5;" $2.018,90 ";" $1.682,42 ";" $1.345,94 "
"FITCC12";"Fideos Int. Pan. Tallarin ""CAMPO CLARO"" Caja 12 u. x 500 Grs.";"FIDEOS";"CAJA";12;6;" $23.257,79 ";" $19.381,49 ";" $15.505,19 "
"FEFCC1";"Fideos Espinaca Fettuccine ""CAMPO CLARO"" x 500 Grs.";"FIDEOS";"UNIDAD";1;0,5;" $2.080,89 ";" $1.734,07 ";" $1.387,26 "
"FEFCC12";"Fideos Espinaca Fettuccine Caja ""CAMPO CLARO"" 12 u. x 500 Grs.";"FIDEOS";"CAJA";12;6;" $23.971,83 ";" $19.976,53 ";" $15.981,22 "
"FIGCC1";"Fideos Integral  GARBANZO CODITOS ""CAMPO CLARO"" x 500 Grs.";"FIDEOS";"UNIDAD";1;0,5;" $2.080,89 ";" $1.734,07 ";" $1.387,26 "
"FIGCC12";"Fideos Integral GARBANZO CODITOS ""CAMPO CLARO"" x Caja x 12 u.";"FIDEOS";"CAJA";12;6;" $23.971,83 ";" $19.976,53 ";" $15.981,22 "
"DAR1";"ArÃ¡ndano rojo x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $16.117,66 ";" $13.431,38 ";" $10.745,10 "
"DAR11";"ArÃ¡ndano rojo x Caja de 11,34 Kg.";"DESHIDRATADOS";"CAJA";11,34;11,34;" $179.595,54 ";" $149.662,95 ";" $119.730,36 "
"DAM1";"Azucar Mascabo x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $2.646,00 ";" $2.205,00 ";" $1.764,00 "
"DAMCC";"Azucar Mascabo x 100 Kg.";"DESHIDRATADOS";"PALLET";100;100;" $226.800,00 ";" $189.000,00 ";" $151.200,00 "
"DAOS05";"Azucar OrgÃ¡nico ""Schatzi"" x 500 Grs.";"DESHIDRATADOS";"UNIDAD";1;0,5;" $5.198,42 ";" $4.332,02 ";" $3.465,61 "
"DAOS16";"Azucar OrgÃ¡nico ""Schatzi"" x 500 Grs. CAJA x 16 u.";"DESHIDRATADOS";"CAJA";16;8;" $75.165,34 ";" $62.637,78 ";" $50.110,23 "
"DAOSU3";"Azucar OrgÃ¡nico ""Schatzi"" x 3 Kg.";"DESHIDRATADOS";"BOLSA";3;3;" $21.312,83 ";" $17.760,69 ";" $14.208,55 "
"DAOSU25";"Azucar OrgÃ¡nico ""Schatzi"" x 25 Kg.";"DESHIDRATADOS";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"DAOSI25";"Azucar OrgÃ¡nico ""SAN ISIDRO"" x 25 Kg.";"DESHIDRATADOS";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"DBGO1";"Bayas de goyi x 1 kg.";"DESHIDRATADOS";"UNIDAD";1;1;" $-   ";" $-   ";" $-   "
"DCB1";"Chip de bananita x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $9.558,00 ";" $7.965,00 ";" $6.372,00 "
"DCB68";"Chip de bananita x Caja de 6,80 Kg.";"DESHIDRATADOS";"CAJA";6,8;6,8;" $62.240,40 ";" $51.867,00 ";" $41.493,60 "
"DCPG1";"Ciruela Presidente - grande x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $8.850,00 ";" $7.375,00 ";" $5.900,00 "
"DCPG5";"Ciruela Presidente - grande x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $42.375,00 ";" $35.312,50 ";" $28.250,00 "
"DCPM1";"Ciruela Presidente - mediana x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $7.080,00 ";" $5.900,00 ";" $4.720,00 "
"DCPM5";"Ciruela Presidente - mediana x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $33.900,00 ";" $28.250,00 ";" $22.600,00 "
"DCBSC1";"Ciruela bombÃ³n sin carozo x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $3.540,00 ";" $2.950,00 ";" $2.360,00 "
"DCBSC5";"Ciruela bombÃ³n sin carozo x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $16.950,00 ";" $14.125,00 ";" $11.300,00 "
"DCCC1";"Ciruela con carozo x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $3.451,50 ";" $2.876,25 ";" $2.301,00 "
"DCCC10";"Ciruela con carozo x Caja de 10 Kg.";"DESHIDRATADOS";"CAJA";10;10;" $33.052,50 ";" $27.543,75 ";" $22.035,00 "
"DCHF1";"Coco rallado x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $7.200,00 ";" $6.000,00 ";" $4.800,00 "
"DCHF25";"Coco rallado x 25 Kg.";"DESHIDRATADOS";"BOLSÃ“N";25;25;" $172.500,00 ";" $143.750,00 ";" $115.000,00 "
"DCEHF1";"Coco en escamas x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $12.090,00 ";" $10.075,00 ";" $8.060,00 "
"DCEHF10";"Coco en escamas x 10 Kg.";"DESHIDRATADOS";"CAJA";10;10;" $111.600,00 ";" $93.000,00 ";" $74.400,00 "
"DDT1";"Damasco turco x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $15.186,60 ";" $12.655,50 ";" $10.124,40 "
"DDT5";"Damasco turco x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $72.715,50 ";" $60.596,25 ";" $48.477,00 "
"DDI1";"Datil EGIPTO x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $-   ";" $-   ";" $-   "
"DDI5";"Datil EGIPTO x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $-   ";" $-   ";" $-   "
"DDA1";"Datil Argelia x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $9.720,00 ";" $8.100,00 ";" $6.480,00 "
"DDA5";"Datil Argelia x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $46.575,00 ";" $38.812,50 ";" $31.050,00 "
"DDM1";"Datil Medjoul ISRAEL x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $20.625,00 ";" $17.187,50 ";" $13.750,00 "
"DDM5";"Datil Medjoul ISRAEL x 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $97.350,00 ";" $81.125,00 ";" $64.900,00 "
"DDMM1";"Datil Medjoul MEXICO x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $-   ";" $-   ";" $-   "
"DDMM5";"Datil Medjoul MEXICO x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $-   ";" $-   ";" $-   "
"DDUM1";"Durazno en mitades x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $11.682,00 ";" $9.735,00 ";" $7.788,00 "
"DDUM5";"Durazno en mitades x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $55.935,00 ";" $46.612,50 ";" $37.290,00 "
"DHN1";"Higo Negro x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $6.732,00 ";" $5.610,00 ";" $4.488,00 "
"DHN5";"Higo Negro x Caja de 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $32.257,50 ";" $26.881,25 ";" $21.505,00 "
"DHTC1";"Higo Turco Suer x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $-   ";" $-   ";" $-   "
"DHTC5";"Higo Turco Suer Caja x 5 Kg.";"DESHIDRATADOS";"CAJA";5;5;" $-   ";" $-   ";" $-   "
"DHTL1";"Higo turco Lerida x 1 kg.";"DESHIDRATADOS";"KG";1;1;" $-   ";" $-   ";" $-   "
"DHTL25";"Higo turco Lerida CAJA X 2,5";"DESHIDRATADOS";"CAJA";2,5;2,5;" $-   ";" $-   ";" $-   "
"DHC1";"Hongo chileno x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $21.960,00 ";" $18.300,00 ";" $14.640,00 "
"DHC15";"Hongo chileno x 15 kg";"DESHIDRATADOS";"BOLSÃ“N";15;15;" $310.500,00 ";" $258.750,00 ";" $207.000,00 "
"DMFO1";"Maiz frito - ORIGINAL x 1 Kg.";"DESHIDRATADOS";"KG";1;1;" $11.531,25 ";" $9.609,38 ";" $7.687,50 "
